                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.84,                 4.2598,                 3.7912,                  3.492,                0.66305,                 0.5707,                0.60152,                  0.421,                0.66925,                0.58323,                 0.6133,                0.45862,                 1.4153,                   1.63,                 1.7051,                 2.0521,              0.0033309,              0.0033309,              0.0033309
                      2,                 1.5465,                 2.6707,                  2.157,                 2.0699,                0.77277,                0.69782,                0.74393,                0.58249,                0.77904,                0.69762,                0.74666,                0.60018,                0.96503,                 1.2542,                  1.255,                  1.494,              0.0066422,              0.0066422,              0.0066422
                      3,                 1.2884,                 2.4556,                 1.8154,                  1.742,                0.87265,                0.76708,                0.83747,                0.68741,                0.87376,                0.76261,                0.83235,                0.67718,                0.77248,                 1.1141,                0.89664,                 1.2417,              0.0099316,              0.0099316,              0.0099316
                      4,                 1.1333,                 2.3108,                 1.4923,                  1.567,                0.90032,                0.80065,                0.86681,                0.73946,                0.89969,                0.79561,                0.86077,                0.72758,                0.64925,                 0.9787,                0.69817,                 1.1262,               0.009901,               0.009901,               0.009901
                      5,                 1.0655,                 2.2382,                 1.3385,                 1.4906,                0.91066,                0.82991,                0.88714,                0.76833,                0.90938,                0.82467,                0.88437,                0.74502,                0.60104,                0.95506,                0.63148,                  1.088,               0.009901,               0.009901,               0.009901
                      6,                 1.0226,                 2.1658,                 1.2411,                 1.4424,                0.92324,                0.84107,                0.89419,                0.77996,                 0.9188,                0.83509,                0.88492,                0.74781,                0.57217,                0.91373,                0.59328,                 1.0581,               0.009868,               0.009868,               0.009868
                      7,                0.99175,                 2.1262,                 1.1785,                 1.4084,                0.92966,                0.85108,                0.90112,                0.79348,                0.92828,                0.84226,                0.89434,                0.76021,                0.55011,                0.87559,                0.54699,                 1.0383,               0.009835,               0.009835,               0.009835
                      8,                0.97451,                 2.1071,                 1.1444,                 1.3874,                0.93683,                0.85088,                0.90668,                  0.804,                 0.9374,                0.84169,                0.89961,                0.77165,                0.53627,                0.86062,                0.51774,                 1.0226,               0.009802,               0.009802,               0.009802
                      9,                0.95975,                 2.0761,                 1.1078,                  1.369,                0.94393,                0.85608,                0.91063,                0.81129,                 0.9395,                0.84901,                0.90165,                 0.7805,                0.51754,                 0.8376,                0.49277,                 1.0108,               0.009769,               0.009769,               0.009769
                     10,                0.94441,                 2.0473,                 1.0793,                 1.3513,                0.94221,                0.86109,                0.91114,                0.81478,                0.94074,                 0.8499,                0.90121,                0.77906,                 0.5087,                0.81745,                0.47934,                0.99944,               0.009736,               0.009736,               0.009736
